,Time,Latitude,Longitude,Altitude,Orientation,Atmospheric Layer
0,0,12.9716,77.5947,1000.0,-2.7796958304042594,Troposphere
1,1,12.971600872774768,77.59469999619125,1010.8363434287302,-2.1048948600655035,Troposphere
2,2,12.971601745483047,77.59469998476528,1021.6726868574603,4.506127608058074,Troposphere
3,3,12.971602618058368,77.59469996572298,1032.5090302861906,-4.261907792207299,Troposphere
4,4,12.971603490434257,77.59469993906578,1043.3453737149207,2.13987632468002,Troposphere
5,5,12.97160436254426,77.59469990479572,1054.181717143651,-10.257334828410658,Troposphere
6,6,12.971605234321949,77.5946998629154,1065.0180605723813,-2.443457733513929,Troposphere
7,7,12.971606105700912,77.59469981342804,1075.854404001111,0.6797619335734173,Troposphere
8,8,12.971606976614774,77.59469975633738,1086.6907474298416,-6.369892969433352,Troposphere
9,9,12.971607846997191,77.59469969164778,1097.527090858572,-2.0926519647834594,Troposphere
10,10,12.971608716781864,77.59469961936415,1108.363434287302,1.1121304898137203,Troposphere
11,11,12.971609585902536,77.59469953949203,1119.1997777160325,2.118909990849133,Troposphere
12,12,12.971610454293,77.59469945203747,1130.0361211447623,-1.994967823562921,Troposphere
13,13,12.97161132188711,77.59469935700716,1140.8724645734926,0.4471065572021285,Troposphere
14,14,12.971612188618773,77.59469925440833,1151.708808002223,-5.84652580428016,Troposphere
15,15,12.971613054421969,77.59469914424878,1162.545151430953,-0.1629792665790162,Troposphere
16,16,12.971613919230744,77.59469902653693,1173.3814948596832,-1.50918503055693,Troposphere
17,17,12.97161478297922,77.59469890128172,1184.2178382884135,-7.617957953338172,Troposphere
18,18,12.971615645601602,77.5946987684927,1195.0541817171436,5.640387616232943,Troposphere
19,19,12.97161650703218,77.59469862818,1205.890525145874,-0.0647672167779987,Troposphere
20,20,12.971617367205337,77.59469848035428,1216.726868574604,-0.4501116832190838,Troposphere
21,21,12.971618226055542,77.59469832502683,1227.5632120033342,-5.105520966526287,Troposphere
22,22,12.97161908351738,77.59469816220945,1238.3995554320643,10.011239211314908,Troposphere
23,23,12.97161993952553,77.59469799191457,1249.2358988607946,-4.432645372178406,Troposphere
24,24,12.971620794014784,77.59469781415515,1260.0722422895249,-3.9877374088832345,Troposphere
25,25,12.971621646920056,77.59469762894474,1270.908585718255,-3.077412477143479,Troposphere
26,26,12.971622498176371,77.59469743629745,1281.7449291469852,-8.823426236922153,Troposphere
27,27,12.97162334771889,77.59469723622793,1292.5812725757155,6.827350367087979,Troposphere
28,28,12.971624195482892,77.59469702875145,1303.4176160044458,2.031854934036498,Troposphere
29,29,12.971625041403804,77.5946968138838,1314.253959433176,-2.4140157443941206,Troposphere
